Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,144.018,-99.06,225.0,bottom
C2,4.7u,C_0402_1005Metric,144.526,-87.122,45.0,bottom
C3,100n,C_0402_1005Metric,156.718,-90.424,225.0,bottom
C4,100n,C_0402_1005Metric,141.732,-90.678,135.0,bottom
C5,100n,C_0402_1005Metric,148.082,-101.854,135.0,bottom
C6,100n,C_0402_1005Metric,146.05,-86.36,135.0,bottom
C7,4.7u,C_0402_1005Metric,152.908,-102.108,135.0,bottom
C8,100n,C_0402_1005Metric,152.146,-101.346,315.0,bottom
C9,100n,C_0402_1005Metric,142.494,-97.536,45.0,bottom
C10,1u,C_0402_1005Metric,141.732,-98.298,45.0,bottom
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,203.11,-116.46,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,191.68,-110.49,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,181.52,-116.46,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,163.105,-116.46,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,147.41,-116.46,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131.355,-116.46,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119.38,-111.125,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,108.04,-116.46,0.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.05,-80.39,0.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.35,-72.39,90.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,183.77,-72.39,90.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,173.99,-80.645,0.0,top
FB1,FerriteBead,R_0805_2012Metric,142.494,-88.392,45.0,bottom
J1,WRITER CONN,PinSocket_2x04_P2.54mm_Vertical,163.85,-104.15,180.0,top
J2,ToMAIN,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,132.605,-69.91,270.0,bottom
R1,10k,R_0603_1608Metric,160.02,-101.6,90.0,bottom
R2,10k,R_0603_1608Metric,158.75,-86.995,180.0,bottom
R3,10k,R_0603_1608Metric,198.755,-107.95,90.0,bottom
R4,10k,R_0603_1608Metric,198.755,-113.665,90.0,bottom
U1,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,149.225,-93.754839,135.0,bottom
U2,~,VL53L0X_horizontal,107.95,-105.7275,0.0,top
U3,~,VL53L0X_horizontal,130.81,-105.7275,0.0,top
U4,~,VL53L0X_horizontal,153.67,-105.7275,0.0,top
U5,~,VL53L0X_horizontal,181.61,-105.7275,0.0,top
U6,~,VL53L0X_horizontal,201.93,-105.7275,0.0,top
U7,~,OpenMV h7,154.94,-87.63,0.0,top
