Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,119.38,-74.295,0.0,top
C2,0.01u,C_0603_1608Metric,114.3,-69.215,0.0,top
C3,220u,CP_Radial_D6.3mm_P2.50mm,117.52262,-61.595,180.0,top
D1,SS34,D_SMA,119.38,-69.215,90.0,top
D2,LED_green,LED_0805_2012Metric,105.41,-72.0575,-90.0,top
J1,Conn_01x05,PinHeader_1x05_P2.54mm_Horizontal,113.03,-82.55,-90.0,top
L1,22u,FXL1040-220-M,108.585,-62.56,90.0,top
R1,10k,R_0603_1608Metric,107.315,-74.295,-90.0,top
R2,470,R_0603_1608Metric,104.775,-69.5175,180.0,top
U1,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,112.36,-72.92,0.0,top
