Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,111.849215,-146.05,180.0,top
C1,100n,C_0402_1005Metric,122.301,-131.826,0.0,top
C2,4.7u,C_0402_1005Metric,136.525,-137.033,0.0,top
C3,100n,C_0402_1005Metric,123.599,-127.381,0.0,top
C4,100n,C_0402_1005Metric,125.095,-125.984,-90.0,top
C5,100n,C_0402_1005Metric,136.398,-127.381,180.0,top
C6,100n,C_0402_1005Metric,135.128,-138.684,90.0,top
C7,4.7u,C_0402_1005Metric,137.795,-128.397,0.0,top
C8,100n,C_0402_1005Metric,126.873,-139.827,0.0,top
C9,100n,C_0402_1005Metric,122.809,-134.211,-90.0,top
C10,1u,C_0402_1005Metric,121.793,-134.239,-90.0,top
C11,100n,C_0402_1005Metric,125.555,-109.77,180.0,top
C12,100n,C_0402_1005Metric,97.155,-69.85,180.0,top
C13,100n,C_0402_1005Metric,100.33,-71.12,90.0,top
D1,LED_ORANGE,LED_1206_3216Metric,92.71,-69.85,0.0,top
D2,LED_GREEN,LED_1206_3216Metric,92.71,-73.025,0.0,top
FB1,FerriteBead,R_0805_2012Metric,122.301,-137.033,90.0,top
J1,ToLINE,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,130.81,-99.06,180.0,top
J2,ToTop,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,99.755,-111.015,0.0,top
J3,ToFront,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,161.35,-112.285,0.0,top
J4,5V IN,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,115.17,-101.6,0.0,top
J5,3V3 IN,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,146.05,-101.6,0.0,top
J7,LOADCELL_R,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,165.1,-76.2,0.0,top
J8,LOADCELL_L,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,165.16,-85.615,0.0,top
J9,arm1,PinHeader_1x03_P2.54mm_Vertical,97.775,-93.98,90.0,top
J10,arm2,PinHeader_1x03_P2.54mm_Vertical,97.775,-90.17,90.0,top
J11,handL,PinHeader_1x03_P2.54mm_Vertical,97.775,-86.36,90.0,top
J12,handR,PinHeader_1x03_P2.54mm_Vertical,97.775,-82.55,90.0,top
J13,back,PinHeader_1x03_P2.54mm_Vertical,129.54,-147.32,90.0,top
J22,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,82.355,-73.66,-90.0,top
Q1,2SA1015,TO-92_Inline,124.1,-114.554,90.0,top
R1,10k,R_0603_1608Metric,90.17,-85.535,90.0,top
R2,10k,R_0603_1608Metric,132.588,-139.954,0.0,top
R3,7.5k,R_0603_1608Metric,131.27,-118.745,90.0,top
R4,330,R_0603_1608Metric,178.435,-76.265,-90.0,top
R5,330,R_0603_1608Metric,176.53,-76.265,90.0,top
R6,330,R_0603_1608Metric,177.8,-91.505,90.0,top
R7,330,R_0603_1608Metric,175.895,-91.505,-90.0,top
R8,20k,R_0603_1608Metric,129.365,-118.745,-90.0,top
R9,330k,R_0603_1608Metric,179.26,-78.805,0.0,top
R10,330k,R_0603_1608Metric,175.895,-78.805,0.0,top
R11,330k,R_0603_1608Metric,178.435,-88.965,0.0,top
R12,330k,R_0603_1608Metric,175.07,-88.965,0.0,top
R13,2.2k,R_0603_1608Metric,127.0,-107.315,90.0,top
R14,2.2k,R_0603_1608Metric,128.905,-107.315,-90.0,top
R15,10k,R_0603_1608Metric,129.413,-124.079,90.0,top
R16,10k,R_0603_1608Metric,127.889,-124.079,-90.0,top
R17,10k,R_0603_1608Metric,132.969,-141.605,0.0,top
R18,10k,R_0603_1608Metric,130.937,-124.079,-90.0,top
R19,75,R_0805_2012Metric,89.535,-67.31,180.0,top
R20,5.1k,R_0805_2012Metric,88.265,-76.835,90.0,top
R21,75,R_0805_2012Metric,91.44,-76.2,-90.0,top
R22,5.1k,R_0805_2012Metric,88.265,-71.12,-90.0,top
SW1,BOOT0,SW_PUSH_6mm,83.82,-83.82,0.0,top
SW2,NRST,SW_PUSH_6mm,83.82,-91.44,0.0,top
U1,~,BNO055,146.05,-125.73,0.0,top
U2,~,vl53l0x_vertical,83.82,-101.6,-90.0,top
U3,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,130.048,-132.334,0.0,top
U4,~,vl53l0x_vertical,176.53,-101.6,90.0,top
U5,~,vl53l0x_vertical,176.53,-64.77,180.0,top
U6,~,XIAO_Board,104.14,-127.0,90.0,top
U7,~,vl53l0x_vertical,83.82,-64.77,180.0,top
U8,CH340E,MSOP-10_3x3mm_P0.5mm,97.155,-74.295,90.0,top
U12,MAX485ESA,SOP-8_3.9x4.9mm_P1.27mm,129.54,-113.03,90.0,top
U13,~,MPU6050,149.86,-144.78,90.0,top
U14,LM358,SOIC-8_3.9x4.9mm_P1.27mm,176.53,-83.82,90.0,top
