Comment,Designator,Footprint,LCSC
100n,"C3,C6",C_0402_1005Metric,C1525
1k,"R10,R11,R12,R13,R14,R15,R16,R17,R18,R28,R29,R30,R31,R32,R33,R34",R_0603_1608Metric,C21190
120,"R1,R19,R2,R20,R21,R22,R23,R24,R25,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C22787
WS2812B,"D1,D2,D4,D5,D6,D8",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
Conn_01x18,J1,PinHeader_1x18_P2.54mm_Vertical,
CS_L,J3,PinHeader_2x03_P2.54mm_Vertical,
~,U2,LBR127HLD,
~,U15,LBR127HLD,
~,U14,LBR127HLD,
~,U25,S11059,
~,U7,LBR127HLD,
~,U4,LBR127HLD,
~,U5,LBR127HLD,
~,U16,LBR127HLD,
~,U17,LBR127HLD,
~,U8,LBR127HLD,
~,U12,LBR127HLD,
~,U3,LBR127HLD,
~,U26,S11059,
~,U9,LBR127HLD,
~,U18,LBR127HLD,
~,U6,LBR127HLD,
~,U10,LBR127HLD,
~,U13,LBR127HLD,
CS_R,J2,PinHeader_2x03_P2.54mm_Vertical,
