Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100n,C_0402_1005Metric,128.27,-81.28,-90.0,top
C6,100n,C_0402_1005Metric,74.93,-80.8,-90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,116.84,-88.9,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,124.46,-81.37,90.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.22,-81.37,-90.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,86.36,-88.9,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.98,-81.37,90.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,78.485,-81.37,-90.0,top
J1,Conn_01x18,PinHeader_1x18_P2.54mm_Vertical,101.585,-109.22,270.0,bottom
J2,CS_R,PinHeader_2x03_P2.54mm_Vertical,71.105,-88.905,270.0,bottom
J3,CS_L,PinHeader_2x03_P2.54mm_Vertical,132.065,-88.905,270.0,bottom
R1,120,R_0603_1608Metric,97.79,-94.425,90.0,top
R2,120,R_0603_1608Metric,92.71,-94.425,90.0,top
R3,120,R_0603_1608Metric,87.63,-94.425,90.0,top
R4,120,R_0603_1608Metric,82.55,-94.425,90.0,top
R5,120,R_0603_1608Metric,77.47,-94.425,90.0,top
R6,120,R_0603_1608Metric,72.39,-94.425,90.0,top
R7,120,R_0603_1608Metric,67.31,-94.425,90.0,top
R8,120,R_0603_1608Metric,102.87,-94.425,90.0,top
R9,120,R_0603_1608Metric,105.41,-88.9,-90.0,top
R10,1k,R_0603_1608Metric,97.79,-113.03,90.0,top
R11,1k,R_0603_1608Metric,95.25,-113.03,90.0,top
R12,1k,R_0603_1608Metric,92.71,-113.03,90.0,top
R13,1k,R_0603_1608Metric,90.17,-113.03,90.0,top
R14,1k,R_0603_1608Metric,87.63,-113.03,90.0,top
R15,1k,R_0603_1608Metric,85.09,-113.03,90.0,top
R16,1k,R_0603_1608Metric,82.55,-113.03,90.0,top
R17,1k,R_0603_1608Metric,100.33,-113.03,90.0,top
R18,1k,R_0603_1608Metric,102.87,-113.03,90.0,top
R19,120,R_0603_1608Metric,107.95,-94.425,90.0,top
R20,120,R_0603_1608Metric,113.03,-94.425,90.0,top
R21,120,R_0603_1608Metric,118.11,-94.425,90.0,top
R22,120,R_0603_1608Metric,123.19,-94.425,90.0,top
R23,120,R_0603_1608Metric,128.27,-94.425,90.0,top
R24,120,R_0603_1608Metric,133.35,-94.425,90.0,top
R25,120,R_0603_1608Metric,138.43,-94.425,90.0,top
R28,1k,R_0603_1608Metric,105.41,-113.03,90.0,top
R29,1k,R_0603_1608Metric,107.92,-113.03,90.0,top
R30,1k,R_0603_1608Metric,110.58,-113.03,90.0,top
R31,1k,R_0603_1608Metric,113.09,-113.03,90.0,top
R32,1k,R_0603_1608Metric,115.6,-113.03,90.0,top
R33,1k,R_0603_1608Metric,118.11,-113.03,90.0,top
R34,1k,R_0603_1608Metric,120.62,-113.03,90.0,top
U2,~,LBR127HLD,96.52,-101.6,90.0,top
U3,~,LBR127HLD,91.44,-101.6,90.0,top
U4,~,LBR127HLD,86.36,-101.6,90.0,top
U5,~,LBR127HLD,81.28,-101.6,90.0,top
U6,~,LBR127HLD,76.2,-101.6,90.0,top
U7,~,LBR127HLD,71.12,-101.6,90.0,top
U8,~,LBR127HLD,66.04,-101.6,90.0,top
U9,~,LBR127HLD,101.6,-101.6,90.0,top
U10,~,LBR127HLD,101.6,-81.37,90.0,top
U12,~,LBR127HLD,106.68,-101.6,90.0,top
U13,~,LBR127HLD,111.76,-101.6,90.0,top
U14,~,LBR127HLD,116.84,-101.6,90.0,top
U15,~,LBR127HLD,121.92,-101.6,90.0,top
U16,~,LBR127HLD,127.0,-101.6,90.0,top
U17,~,LBR127HLD,132.08,-101.6,90.0,top
U18,~,LBR127HLD,137.16,-101.6,90.0,top
U25,~,S11059,116.84,-81.37,0.0,top
U26,~,S11059,86.36,-81.37,0.0,top
