Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,94.615,-103.505,-45.0,top
C2,4.7u,C_0402_1005Metric,112.395,-103.632,0.0,top
C3,100n,C_0402_1005Metric,92.71,-100.33,-45.0,top
C4,100n,C_0402_1005Metric,112.395,-105.41,180.0,top
C5,100n,C_0402_1005Metric,109.855,-101.260589,45.0,top
C6,100n,C_0402_1005Metric,104.14,-89.916,-45.0,top
C7,4.7u,C_0402_1005Metric,105.029,-89.027,135.0,top
C8,100n,C_0402_1005Metric,93.345,-94.615,-135.0,top
C9,100n,C_0402_1005Metric,92.71,-104.14,-90.0,top
C10,1u,C_0603_1608Metric,91.44,-103.66,-90.0,top
D1,LED_GREEN,LED_0805_2012Metric,119.126,-94.3125,90.0,top
FB1,FerriteBead,R_0805_2012Metric,89.535,-103.66,-90.0,top
J1,Conn_01x06,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,101.7,-82.152,180.0,top
J2,WRITER CONN,PinHeader_2x04_P2.54mm_Vertical,83.19,-94.605,0.0,top
J3,CS_R,PinHeader_2x03_P2.54mm_Vertical,132.095,-88.905,-90.0,top
J4,Conn_01x18,PinHeader_1x18_P2.54mm_Vertical,101.585,-109.22,90.0,top
J5,CS_L,PinHeader_2x03_P2.54mm_Vertical,71.135,-88.905,-90.0,top
R1,10k,R_0805_2012Metric,92.075,-92.71,-135.0,top
R2,10k,R_0805_2012Metric,117.475,-104.775,0.0,top
R3,470,R_0603_1608Metric,119.126,-98.1225,90.0,top
R4,10k,R_0805_2012Metric,129.54,-94.5915,-90.0,top
R5,10k,R_0805_2012Metric,132.08,-94.5915,-90.0,top
R6,10k,R_0805_2012Metric,68.58,-94.742,-90.0,top
R7,10k,R_0805_2012Metric,71.12,-94.742,-90.0,top
U1,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,101.6,-98.536179,45.0,top
