Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,220.345,-65.405,180.0,top
C2,10uF,C_0805_2012Metric,213.995,-64.77,0.0,top
C3,22uF,C_0805_2012Metric,227.965,-57.715,90.0,top
C4,10uF,C_0805_2012Metric,229.87,-48.26,180.0,top
C5,1u,C_0805_2012Metric,239.93875,-28.26,-90.0,top
C6,1u,C_0805_2012Metric,246.28875,-29.21,-90.0,top
F1,Fuse,FUSE_3557-15,196.85,-84.455,90.0,top
J1,Battery,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,213.36,-73.025,0.0,top
J2,VOLTMETER,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,267.97,-94.615,90.0,top
J3,STS3032,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,193.08,-48.37,180.0,top
J4,STS3032,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,259.12,-47.735,180.0,top
J5,STS3032,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,194.27,-123.715,0.0,top
J6,STS3032,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,257.85,-123.715,0.0,top
J7,ToLINE,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,226.235,-40.53,0.0,top
J9,3V3 ToMAIN,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,241.935,-40.73,90.0,top
J10,5V ToMAIN,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,207.555,-31.75,0.0,top
J11,Conn_01x04,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,194.37,-38.845,180.0,top
Q1,Q_PMOS_GDS,TO-251-3_Vertical,274.4775,-93.73,-90.0,top
R1,1k,R_0603_1608Metric,214.495,-48.625,0.0,top
R2,330,R_0603_1608Metric,217.67,-48.625,0.0,top
R3,10,R_0603_1608Metric,220.845,-48.625,0.0,top
R4,1.2k,R_0603_1608Metric,213.995,-66.675,0.0,top
R5,1.5k,R_0603_1608Metric,244.725,-51.435,-90.0,top
R6,680,R_0603_1608Metric,244.725,-54.8,-90.0,top
R7,10k,R_0603_1608Metric,186.055,-80.01,180.0,top
R8,1.2k,R_0603_1608Metric,229.87,-46.355,180.0,top
R9,10k,R_0603_1608Metric,278.2875,-92.46,90.0,top
RV1,R_Trim,Potentiometer_Bourns_3296W_Vertical,191.78,-116.332,180.0,top
RV2,R_Trim,Potentiometer_Bourns_3296W_Vertical,196.84,-97.536,0.0,top
RV3,R_Trim,Potentiometer_Bourns_3296W_Vertical,177.165,-88.91,90.0,top
SW1,SW_SPST,DS-850K-S-ON,261.97,-82.55,0.0,top
U1,~,PinHeader_1x05_P2.54mm_Vertical,189.23,-102.865,0.0,top
U2,~,PinHeader_1x05_P2.54mm_Vertical,199.39,-110.495,180.0,top
U3,~,OKL-T6-W12N-C,219.325,-57.015,180.0,top
U4,~,OKL-T6-W12N-C,236.47,-56.765,90.0,top
U5,~,M51957B,186.055,-84.455,0.0,top
U6,XC6206P332MR-G,SOT-23-3,243.11375,-27.94,0.0,top
