Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,74.93,-129.54,0.0,bottom
C2,4.7u,C_0402_1005Metric,97.79,-123.19,135.0,bottom
C3,100n,C_0402_1005Metric,77.47,-84.582,180.0,bottom
C4,100n,C_0402_1005Metric,77.47,-132.08,135.0,bottom
C5,100n,C_0402_1005Metric,77.47,-127.0,45.0,bottom
C6,100n,C_0402_1005Metric,110.49,-83.82,180.0,bottom
C7,10u,C_0603_1608Metric,108.205,-123.19,180.0,bottom
C8,10u,C_0603_1608Metric,112.015,-123.19,0.0,bottom
C9,0.33u,C_0805_2012Metric,115.825,-123.19,180.0,bottom
C10,100u,C_1206_3216Metric,120.905,-123.19,0.0,bottom
C11,100n,C_0402_1005Metric,99.06,-125.73,225.0,bottom
C12,100n,C_0402_1005Metric,92.71,-120.65,315.0,bottom
C13,100n,C_0402_1005Metric,87.63,-138.43,135.0,bottom
C14,4.7u,C_0402_1005Metric,78.74,-133.35,315.0,bottom
C15,100n,C_0402_1005Metric,81.28,-121.92,180.0,bottom
C16,1u,C_0402_1005Metric,81.28,-120.65,180.0,bottom
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.4005,-97.0,0.0,bottom
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,109.4005,-90.0,270.0,bottom
D3,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,53.34,-123.952,90.0,bottom
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,93.4005,-90.0,90.0,bottom
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,69.4005,-97.0,0.0,bottom
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,77.4005,-90.0,270.0,bottom
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,61.4005,-90.0,90.0,bottom
FB1,FerriteBead,R_0805_2012Metric,77.47,-121.92,180.0,bottom
J1,ST-LINK,PinHeader_1x04_P2.54mm_Vertical,65.278,-150.876,180.0,top
J3,ToMAIN,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,94.174,-150.385,0.0,top
J4,WRITER CONN,PinHeader_2x04_P2.54mm_Vertical,79.238,-150.363,90.0,top
R1,105,R_0603_1608Metric,80.835,-102.87,90.0,bottom
R2,105,R_0603_1608Metric,75.755,-102.87,90.0,bottom
R3,105,R_0603_1608Metric,70.675,-102.87,90.0,bottom
R4,105,R_0603_1608Metric,65.595,-102.87,90.0,bottom
R5,105,R_0603_1608Metric,60.515,-102.87,90.0,bottom
R6,105,R_0603_1608Metric,55.435,-102.87,90.0,bottom
R7,105,R_0603_1608Metric,50.355,-102.87,90.0,bottom
R8,105,R_0603_1608Metric,85.915,-102.87,90.0,bottom
R9,105,R_0603_1608Metric,83.82,-83.82,90.0,bottom
R10,1k,R_1206_3216Metric,78.74,-116.84,90.0,bottom
R11,1k,R_1206_3216Metric,73.66,-116.84,90.0,bottom
R12,1k,R_1206_3216Metric,68.58,-116.84,90.0,bottom
R13,1k,R_1206_3216Metric,63.5,-116.84,90.0,bottom
R14,1k,R_1206_3216Metric,58.42,-116.84,90.0,bottom
R15,1k,R_1206_3216Metric,53.34,-116.84,90.0,bottom
R16,1k,R_1206_3216Metric,48.26,-116.84,90.0,bottom
R17,1k,R_1206_3216Metric,83.82,-116.84,90.0,bottom
R18,1k,R_1206_3216Metric,83.82,-97.79,90.0,bottom
R19,105,R_0603_1608Metric,90.995,-102.87,90.0,bottom
R20,105,R_0603_1608Metric,96.075,-102.87,90.0,bottom
R21,105,R_0603_1608Metric,101.155,-102.87,90.0,bottom
R22,105,R_0603_1608Metric,106.235,-102.87,90.0,bottom
R23,105,R_0603_1608Metric,111.315,-102.93,90.0,bottom
R24,105,R_0603_1608Metric,116.395,-102.87,90.0,bottom
R25,105,R_0603_1608Metric,121.475,-102.87,90.0,bottom
R26,10k,R_0603_1608Metric,101.6,-120.65,180.0,bottom
R27,75,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,53.34,-129.54,90.0,bottom
R28,1k,R_1206_3216Metric,88.9,-116.84,90.0,bottom
R29,1k,R_1206_3216Metric,93.98,-116.84,90.0,bottom
R30,1k,R_1206_3216Metric,99.06,-116.84,90.0,bottom
R31,1k,R_1206_3216Metric,104.14,-116.6475,90.0,bottom
R32,1k,R_1206_3216Metric,109.22,-116.84,90.0,bottom
R33,1k,R_1206_3216Metric,114.3,-116.84,90.0,bottom
R34,1k,R_1206_3216Metric,119.38,-116.84,90.0,bottom
R37,10k,R_0603_1608Metric,78.74,-137.16,270.0,bottom
U2,~,LBR127HLD,80.3205,-110.0,90.0,bottom
U3,~,LBR127HLD,75.2405,-110.0,90.0,bottom
U4,~,LBR127HLD,70.1605,-110.0,90.0,bottom
U5,~,LBR127HLD,65.0805,-110.0,90.0,bottom
U6,~,LBR127HLD,60.0005,-110.0,90.0,bottom
U7,~,LBR127HLD,54.9205,-110.0,90.0,bottom
U8,~,LBR127HLD,49.8405,-110.0,90.0,bottom
U9,~,LBR127HLD,85.4005,-110.0,90.0,bottom
U10,~,LBR127HLD,85.4005,-90.0,90.0,bottom
U12,~,LBR127HLD,90.4805,-110.0,90.0,bottom
U13,~,LBR127HLD,95.5605,-110.0,90.0,bottom
U14,~,LBR127HLD,100.6405,-110.0,90.0,bottom
U15,~,LBR127HLD,105.7205,-110.0,90.0,bottom
U16,~,LBR127HLD,110.8005,-110.0,90.0,bottom
U17,~,LBR127HLD,115.8805,-110.0,90.0,bottom
U18,~,LBR127HLD,120.9605,-110.0,90.0,bottom
U24,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,87.748159,-129.068287,225.0,bottom
U25,~,S11059,69.4005,-90.0,0.0,bottom
U26,~,S11059,101.4005,-90.0,0.0,bottom
U27,~,SOT-223-6,109.475,-129.54,270.0,bottom
U28,~,TO-252-3_TabPin2,118.11,-131.225,270.0,bottom
