Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,97.065784,-66.04,0.0,top
C1,100n,C_0402_1005Metric,111.506,-100.076,90.0,bottom
C2,4.7u,C_0402_1005Metric,101.005,-107.7,0.0,bottom
C3,100n,C_0402_1005Metric,110.149,-95.0,270.0,bottom
C4,100n,C_0402_1005Metric,107.101,-107.7,0.0,bottom
C5,100n,C_0402_1005Metric,99.481,-106.684,90.0,bottom
C6,100n,C_0402_1005Metric,96.687,-96.552,90.0,bottom
C7,4.7u,C_0402_1005Metric,98.465,-106.684,270.0,bottom
C8,100n,C_0402_1005Metric,108.879,-93.984,270.0,bottom
C9,100n,C_0402_1005Metric,111.419,-102.112,270.0,bottom
C10,1u,C_0402_1005Metric,112.435,-102.14,270.0,bottom
C11,100n,C_0402_1005Metric,104.775,-80.01,0.0,bottom
D1,LED_GREEN,LED_0805_2012Metric,170.18,-88.598431,90.0,bottom
FB1,FerriteBead,R_0805_2012Metric,113.959,-101.35,270.0,bottom
J1,WRITER CONN,PinSocket_2x04_P2.54mm_Horizontal,167.64,-101.6,0.0,bottom
J2,toLINE,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,64.245,-124.38,-90.0,top
J3,STS3032,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,135.92,-128.31,-90.0,top
J4,STS3032,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,135.778,-71.16,-90.0,top
J5,STS3032,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,66.08,-63.866,0.0,top
J6,STS3032,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,66.08,-135.494,0.0,top
J7,LOADCELL_R,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,55.135,-74.99,90.0,top
J8,LOADCELL_L,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,55.135,-90.11,90.0,top
J9,MAIN Conn,JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical,75.455,-99.12,90.0,top
Q1,2SA1015,TO-92_Inline,107.8735,-86.0785,90.0,bottom
R1,10k,R_0603_1608Metric,106.68,-92.71,180.0,bottom
R2,10k,R_0603_1608Metric,102.045,-109.22,0.0,bottom
R3,470,R_0603_1608Metric,170.115,-92.265,90.0,bottom
R4,7.5k,R_0603_1608Metric,101.4175,-90.6505,0.0,bottom
R5,20k,R_0603_1608Metric,101.9615,-92.3395,180.0,bottom
R6,2.2k,R_0603_1608Metric,104.2115,-81.2525,0.0,bottom
R7,2.2k,R_0603_1608Metric,101.0365,-81.2525,180.0,bottom
R8,330,R_0603_1608Metric,63.564,-78.328,180.0,bottom
R9,330,R_0603_1608Metric,64.643,-76.804,0.0,bottom
R10,330,R_0603_1608Metric,63.627,-88.996,180.0,bottom
R11,330,R_0603_1608Metric,66.738,-88.996,0.0,bottom
R12,1M,R_0603_1608Metric,61.849,-84.932,270.0,bottom
R13,1M,R_0603_1608Metric,66.675,-78.328,0.0,bottom
R14,1M,R_0603_1608Metric,63.627,-87.472,0.0,bottom
R15,1M,R_0603_1608Metric,66.738,-87.472,0.0,bottom
R16,10k,R_0603_1608Metric,49.078,-73.025,90.0,bottom
R17,10k,R_0603_1608Metric,47.808,-81.09,180.0,bottom
R18,10k,R_0603_1608Metric,110.49,-68.58,90.0,bottom
R19,10k,R_0603_1608Metric,113.03,-68.58,270.0,bottom
R20,10k,R_0603_1608Metric,106.0,-124.19,270.0,bottom
R21,2.2k,R_0603_1608Metric,91.46,-137.545,90.0,bottom
R22,2.2k,R_0603_1608Metric,119.38,-131.11,270.0,bottom
R23,1.5k,R_0603_1608Metric,108.54,-124.19,180.0,bottom
U1,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,104.14,-100.33,0.0,bottom
U2,~,PinHeader_1x05_P2.54mm_Vertical,116.84,-134.925,180.0,top
U3,~,PinHeader_1x05_P2.54mm_Vertical,94.0,-135.0,0.0,top
U4,MAX485ESA,SOP-8_3.9x4.9mm_P1.27mm,102.3065,-85.9935,90.0,bottom
U5,LM358,SOIC-8_3.9x4.9mm_P1.27mm,65.405,-82.9,90.0,bottom
U6,~,vl53l0x_vertical,105.41,-45.72,180.0,top
U7,~,vl53l0x_vertical,100.33,-154.94,0.0,top
U8,~,vl53l0x_vertical,48.443,-74.93,-90.0,top
U9,~,vl53l0x_vertical,48.443,-87.63,-90.0,top
U10,~,vl53l0x_vertical,48.443,-100.33,-90.0,top
U11,~,vl53l0x_vertical,48.443,-113.03,-90.0,top
U12,~,vl53l0x_vertical,48.443,-125.73,-90.0,top
U13,~,BNO055,60.96,-104.14,90.0,top
U14,~,MPU6050,114.3,-64.77,90.0,top
U15,~,M51957B,106.635,-131.175,270.0,bottom
