Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,154.686,-125.73,135.0,top
C2,4.7u,C_0402_1005Metric,140.600625,-126.728319,-135.0,top
C3,100n,C_0402_1005Metric,156.094625,-127.236319,-45.0,top
C4,100n,C_0402_1005Metric,145.172625,-122.410319,-135.0,top
C5,100n,C_0402_1005Metric,140.178036,-128.59173,-45.0,top
C6,100n,C_0402_1005Metric,145.426625,-137.396319,-45.0,top
C7,4.7u,C_0402_1005Metric,139.330625,-129.522319,135.0,top
C8,100n,C_0402_1005Metric,156.094625,-132.316319,45.0,top
C9,100n,C_0402_1005Metric,152.030625,-123.172319,135.0,top
C10,1u,C_0402_1005Metric,152.792625,-122.410319,135.0,top
D1,LED_GREEN,LED_0805_2012Metric,141.0,-103.0,-90.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.73,-92.71,90.0,bottom
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,134.62,-99.44,0.0,bottom
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143.51,-92.8,270.0,bottom
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,174.37,-92.71,90.0,bottom
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,165.1,-99.06,180.0,bottom
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,156.59,-92.62,270.0,bottom
FB1,FerriteBead,R_0805_2012Metric,154.0,-120.0,-135.0,top
J2,WRITER CONN,PinSocket_2x04_P2.54mm_Vertical,149.85,-101.326,270.0,bottom
J3,Conn_01x05,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,124.0,-100.475,180.0,top
R1,10k,R_0603_1608Metric,156.0,-134.602319,45.0,top
R2,10k,R_0603_1608Metric,138.416637,-130.416637,135.0,top
R3,470,R_0603_1608Metric,141.0,-99.0,-90.0,top
R8,120,R_0603_1608Metric,153.67,-106.68,90.0,top
R9,120,R_0603_1608Metric,158.75,-106.68,90.0,top
R10,120,R_0603_1608Metric,163.83,-106.68,90.0,top
R11,120,R_0603_1608Metric,168.91,-106.68,90.0,top
R12,120,R_0603_1608Metric,173.99,-106.68,90.0,top
R13,120,R_0603_1608Metric,179.07,-106.68,90.0,top
R14,120,R_0603_1608Metric,183.896,-106.68,90.0,top
R15,120,R_0603_1608Metric,148.59,-106.68,90.0,top
R16,1k,R_0603_1608Metric,154.94,-113.538,180.0,top
R17,1k,R_0603_1608Metric,160.02,-113.538,180.0,top
R18,1k,R_0603_1608Metric,165.1,-113.538,180.0,top
R19,1k,R_0603_1608Metric,170.18,-113.538,180.0,top
R20,1k,R_0603_1608Metric,175.451,-113.538,180.0,top
R21,1k,R_0603_1608Metric,180.277,-113.538,180.0,top
R22,1k,R_0603_1608Metric,185.42,-113.538,180.0,top
R23,1k,R_0603_1608Metric,149.86,-113.538,180.0,top
R24,120,R_0603_1608Metric,143.51,-106.68,90.0,top
R25,120,R_0603_1608Metric,138.43,-106.68,90.0,top
R26,120,R_0603_1608Metric,133.35,-106.68,90.0,top
R27,120,R_0603_1608Metric,128.27,-106.68,90.0,top
R28,120,R_0603_1608Metric,123.19,-106.68,90.0,top
R29,120,R_0603_1608Metric,118.11,-106.68,90.0,top
R30,120,R_0603_1608Metric,113.03,-106.68,90.0,top
R31,120,R_0603_1608Metric,146.304,-92.71,-90.0,top
R32,1k,R_0603_1608Metric,144.78,-113.538,180.0,top
R33,1k,R_0603_1608Metric,139.7,-113.538,180.0,top
R34,1k,R_0603_1608Metric,134.62,-113.538,180.0,top
R35,1k,R_0603_1608Metric,129.54,-113.538,180.0,top
R36,1k,R_0603_1608Metric,124.46,-113.538,180.0,top
R37,1k,R_0603_1608Metric,119.38,-113.538,180.0,top
R38,1k,R_0603_1608Metric,114.3,-113.538,180.0,top
R39,1k,R_0603_1608Metric,149.86,-92.71,180.0,top
U1,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,148.220625,-129.757713,-135.0,top
U2,~,LBR127HLD,154.94,-113.52,90.0,bottom
U3,~,LBR127HLD,160.02,-113.52,90.0,bottom
U4,~,LBR127HLD,165.1,-113.52,90.0,bottom
U5,~,LBR127HLD,170.18,-113.52,90.0,bottom
U6,~,LBR127HLD,175.26,-113.52,90.0,bottom
U7,~,LBR127HLD,180.34,-113.52,90.0,bottom
U8,~,LBR127HLD,185.42,-113.52,90.0,bottom
U9,~,LBR127HLD,149.86,-113.52,90.0,bottom
U10,~,LBR127HLD,144.78,-113.52,90.0,bottom
U11,~,LBR127HLD,139.7,-113.52,90.0,bottom
U12,~,LBR127HLD,134.62,-113.52,90.0,bottom
U13,~,LBR127HLD,129.54,-113.52,90.0,bottom
U14,~,LBR127HLD,124.46,-113.52,90.0,bottom
U15,~,LBR127HLD,119.38,-113.52,90.0,bottom
U16,~,LBR127HLD,114.3,-113.52,90.0,bottom
U17,~,LBR127HLD,149.86,-92.71,90.0,bottom
U18,~,S9706,134.62,-92.71,0.0,bottom
U19,~,S9706,165.1,-92.71,0.0,bottom
