Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric,106.934,-84.328,180.0,bottom
C2,22u,C_0805_2012Metric,106.172,-81.026,90.0,bottom
C8,100n,C_0402_1005Metric,79.669,-86.106,0.0,bottom
C9,100n,C_0402_1005Metric,72.557,-86.106,0.0,bottom
C10,100n,C_0402_1005Metric,69.001,-75.438,90.0,bottom
C11,100n,C_0402_1005Metric,81.562,-72.39,0.0,bottom
C12,100n,C_0402_1005Metric,83.733,-80.546,270.0,bottom
C13,4.7u,C_0402_1005Metric,84.749,-80.546,270.0,bottom
C14,100n,C_0402_1005Metric,83.82,-75.72,90.0,bottom
C15,100n,C_0402_1005Metric,63.5,-80.645,90.0,bottom
D1,LED_GREEN,LED_0805_2012Metric,68.8,-86.3,180.0,bottom
J1,UI,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,34.904,-76.708,-90.0,top
J2,MAIN,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,91.38,-74.185,0.0,top
J3,LOADCELL_R,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,123.75,-93.98,0.0,bottom
J4,WRITER CONN,PinSocket_2x04_P2.54mm_Vertical,62.24,-76.22,90.0,bottom
J5,LOADCELL_L,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,76.2,-93.98,0.0,bottom
J6,OpenMV,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,109.16,-74.185,0.0,top
M1,ServoBasketLeft,PinHeader_1x03_P2.54mm_Horizontal,117.405,-81.915,180.0,bottom
M3,ServoArmLeft,PinHeader_1x03_P2.54mm_Horizontal,49.46,-94.6,0.0,top
M4,ServoArmRight,PinHeader_1x03_P2.54mm_Horizontal,151.13,-94.615,180.0,top
M5,ServoHandLeft,PinHeader_1x03_P2.54mm_Horizontal,49.53,-84.455,0.0,top
M6,ServoHandRight,PinHeader_1x03_P2.54mm_Horizontal,151.2,-84.47,180.0,top
R1,330,R_0603_1608Metric,106.045,-87.503,270.0,bottom
R2,330,R_0603_1608Metric,106.045,-90.678,270.0,bottom
R3,330,R_0603_1608Metric,94.107,-87.503,270.0,bottom
R4,10k,R_0603_1608Metric,60.96,-81.054,270.0,bottom
R5,10k,R_0603_1608Metric,75.097,-86.233,180.0,bottom
R6,330,R_0603_1608Metric,94.107,-90.678,270.0,bottom
R7,1M,R_0603_1608Metric,104.521,-87.503,90.0,bottom
R8,1M,R_0603_1608Metric,104.521,-90.678,90.0,bottom
R9,1M,R_0603_1608Metric,95.631,-87.503,90.0,bottom
R10,1M,R_0603_1608Metric,95.631,-90.678,90.0,bottom
R11,470,R_0603_1608Metric,66.825,-84.4,180.0,bottom
R12,10k,R_1206_3216Metric,146.7,-73.7,0.0,bottom
R13,10k,R_1206_3216Metric,146.6,-76.5,180.0,bottom
U1,LM358,SOIC-8_3.9x4.9mm_P1.27mm,100.076,-89.408,180.0,bottom
U2,~,vl53l0x_vertical,161.73,-91.19,270.0,bottom
U3,~,vl53l0x_vertical,38.0,-91.19,90.0,bottom
U4,STM32F103RCTx,LQFP-64_10x10mm_P0.5mm,76.367,-78.74,0.0,bottom
U5,AMS1117-3.3,SOT-223-3_TabPin2,100.584,-82.042,0.0,bottom
