Comment,Designator,Footprint,LCSC
10uF,"C3,C4",C_0805_2012Metric,C15850
1k,R1,R_0603_1608Metric,C21190
1.2k,"R6,R7",R_0603_1608Metric,C22765
1.5k,R4,R_0603_1608Metric,C22843
10,R3,R_0603_1608Metric,C22859
330,R2,R_0603_1608Metric,C23138
680,R5,R_0603_1608Metric,C23228
10k,R8,R_0603_1608Metric,C25804
22uF,"C1,C2",C_0805_2012Metric,C45783
Fuse,F1,FUSE_3557-15,
~,U2,OKL-T6-W12N-C-SMD,
Q_PMOS_GDS,Q1,TO-251-3_Vertical,
SW_SPST,SW1,AkizukiSmallRockerSwitchHorizontal,
~,U1,OKL-T6-W12N-C-SMD,
