Comment,Designator,Footprint,LCSC
OpenMV Conn,J1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
~,U1,MOUDLE14P-SMD-2.54-21X17.8MM,
~,U2,MS2807,
SW_Push,SW1,SW_PUSH-12mm,
R,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
MountingHole,H2,MountingHole_3.2mm_M3,
MountingHole,H1,MountingHole_3.2mm_M3,
WS2812B,D8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
WS2812B,D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
