Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,65.0,-107.0,0.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,75.0,-107.0,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,85.0,-107.0,0.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,95.0,-107.0,0.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,105.0,-107.0,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115.0,-107.0,0.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.0,-107.0,0.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135.0,-107.0,0.0,top
J1,OpenMV Conn,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,146.45,-59.25,90.0,top
R1,R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,138.0,-58.92,90.0,bottom
SW1,SW_Push,SW_PUSH-12mm,143.0,-74.0,90.0,top
U1,~,MOUDLE14P-SMD-2.54-21X17.8MM,129.12,-103.0,90.0,bottom
U2,~,MS2807,93.0,-77.7125,180.0,top
