Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_15x7.5RM7.6,132.8,-150.241,0.0,top
C1,100n,C_0402_1005Metric,187.0,-101.826,270.0,bottom
C2,4.7u,C_0402_1005Metric,149.519,-101.084,0.0,bottom
C3,100n,C_0402_1005Metric,159.679,-89.4,270.0,bottom
C4,100n,C_0402_1005Metric,155.107,-101.084,0.0,bottom
C5,100n,C_0402_1005Metric,147.487,-100.096,90.0,bottom
C6,100n,C_0402_1005Metric,144.947,-90.162,90.0,bottom
C7,4.7u,C_0402_1005Metric,157.647,-87.622,180.0,bottom
C8,100n,C_0402_1005Metric,155.615,-86.352,180.0,bottom
C9,100n,C_0402_1005Metric,138.204,-85.09,180.0,bottom
C10,100n,C_0402_1005Metric,159.679,-95.496,270.0,bottom
C11,1u,C_0402_1005Metric,160.695,-95.496,270.0,bottom
C14,10u,C_0805_2012Metric,147.937,-113.106,270.0,bottom
C15,10u,C_0805_2012Metric,118.364,-113.855,270.0,bottom
C16,0.01u,C_0603_1608Metric,157.589,-110.312,90.0,bottom
C17,0.01u,C_0603_1608Metric,128.016,-111.569,90.0,bottom
C18,220u,CP_Radial_D6.3mm_P2.50mm,140.589,-128.682379,-90.0,top
C19,220u,CP_Radial_D6.3mm_P2.50mm,122.0,-128.31762,90.0,top
D1,LED_GREEN,LED_0805_2012Metric,118.745,-66.04,90.0,bottom
D2,LED_GREEN,LED_0805_2012Metric,118.745,-128.905,270.0,bottom
D5,SS34,D_SMA,152.763,-108.026,180.0,bottom
D6,SS34,D_SMA,122.936,-108.521,180.0,bottom
D7,LED_green,LED_0805_2012Metric,148.699,-116.916,0.0,bottom
D8,LED_green,LED_0805_2012Metric,119.634,-117.665,0.0,bottom
FB1,FerriteBead,R_0805_2012Metric,162.219,-94.734,270.0,bottom
H1,ToMainVDD,MountingHole_3.2mm_M3_Pad_Via,150.0,-127.5,0.0,top
H2,ToMainGND,MountingHole_3.2mm_M3_Pad_Via,150.0,-72.5,0.0,top
H3,ToMain3V3,MountingHole_3.2mm_M3_Pad_Via,130.0,-72.5,0.0,top
H4,ToMain5V,MountingHole_3.2mm_M3_Pad_Via,130.0,-127.5,0.0,top
J1,Front,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,105.135214,-85.775,90.0,top
J2,Top,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,105.135214,-100.009,90.0,top
J3,toLINE,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,92.185,-123.27,-90.0,top
J5,STS3032,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,162.702,-71.922,-90.0,top
J6,STS3032,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,162.702,-128.31,-90.0,top
J7,STS3032,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,93.258,-135.494,0.0,top
J8,STS3032,Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical,92.67,-64.882,0.0,top
J9,WRITER CONN,PinSocket_2x04_P2.54mm_Horizontal,196.085,-100.0,0.0,bottom
L1,22u,L_Radial_D12.0mm_P5.00mm_Neosid_SD12k_style2,144.5,-139.0,-90.0,top
L2,22u,L_Radial_D12.0mm_P5.00mm_Neosid_SD12k_style2,103.505,-113.792,180.0,top
Q1,2SA1015,TO-92_Inline,139.954,-71.374,0.0,top
R1,7.5k,R_0603_1608Metric,141.478,-74.676,180.0,bottom
R2,10k,R_0603_1608Metric,187.0,-99.187,270.0,bottom
R3,20k,R_0603_1608Metric,138.43,-74.676,0.0,bottom
R4,2.2k,R_0603_1608Metric,138.684,-83.82,180.0,bottom
R5,2.2k,R_0603_1608Metric,141.732,-83.82,0.0,bottom
R6,10k,R_0603_1608Metric,152.146,-101.346,180.0,bottom
R7,470,R_0603_1608Metric,118.745,-69.66,90.0,bottom
R8,1k,R_0805_2012Metric,118.745,-125.095,270.0,bottom
R9,10k,R_1206_3216Metric,134.0,-56.0,180.0,bottom
R10,10k,R_1206_3216Metric,134.5375,-63.0,0.0,bottom
R13,10k,R_0603_1608Metric,157.589,-115.9,270.0,bottom
R14,2.2k,R_0603_1608Metric,155.049,-116.662,0.0,bottom
R15,10k,R_0603_1608Metric,128.016,-114.871,270.0,bottom
R16,2.2k,R_0603_1608Metric,125.984,-117.411,0.0,bottom
R17,470,R_0603_1608Metric,152.001,-116.662,180.0,bottom
R18,470,R_0603_1608Metric,122.936,-117.411,180.0,bottom
U1,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,152.313,-93.754,0.0,bottom
U2,MAX485ESA,SOP-8_3.9x4.9mm_P1.27mm,139.954,-79.248,270.0,bottom
U3,~,vl53l0x_vertical,126.0,-30.0,180.0,top
U4,~,BNO055,134.19,-56.19,90.0,top
U5,~,vl53l0x_vertical,125.984,-170.0,0.0,top
U7,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,152.855,-113.084,0.0,bottom
U8,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,123.282,-113.833,0.0,bottom
