Comment,Designator,Footprint,LCSC
100n,"C10,C11,C12,C14,C15,C8,C9",C_0402_1005Metric,C1525
10k,"R12,R13",R_1206_3216Metric,C17902
1M,"R10,R7,R8,R9",R_0603_1608Metric,C22935
LED_GREEN,D1,LED_0805_2012Metric,C2297
330,"R1,R2,R3,R6",R_0603_1608Metric,C23138
470,R11,R_0603_1608Metric,C23179
4.7u,C13,C_0402_1005Metric,C23733
10k,"R4,R5",R_0603_1608Metric,C25804
22u,"C1,C2",C_0805_2012Metric,C45783
LM358,U1,SOIC-8_3.9x4.9mm_P1.27mm,C5423
AMS1117-3.3,U5,SOT-223-3_TabPin2,C6186
STM32F103RCTx,U4,LQFP-64_10x10mm_P0.5mm,C8323
ServoArmRight,M4,PinHeader_1x03_P2.54mm_Horizontal,
MAIN,J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
OpenMV,J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
ServoHandLeft,M5,PinHeader_1x03_P2.54mm_Horizontal,
ServoArmLeft,M3,PinHeader_1x03_P2.54mm_Horizontal,
UI,J1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
ServoHandRight,M6,PinHeader_1x03_P2.54mm_Horizontal,
LOADCELL_L,J5,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
~,U2,vl53l0x_vertical,
LOADCELL_R,J3,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
ServoBasketLeft,M1,PinHeader_1x03_P2.54mm_Horizontal,
~,U3,vl53l0x_vertical,
WRITER CONN,J4,PinSocket_2x04_P2.54mm_Vertical,
